koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,label
CONFIRMED,0,0,0,0,10.65275054,6.451e-05,-6.451e-05,136.08994,0.00541,-0.00541,2454969.09,0.00541,-0.00541,0.051,0.42,-0.051,2.684,0.127,-0.127,740.7,48.8,-48.8,0.024669,0.001415,-0.00082,4.98044,0.48968,-2.21785,2.2,0.49,-0.19,0.0918,89.91,737.0,69.81,48.17,-19.5,31.03,3.1,-3.1,0.0,0.0,0.2434,0.4341,4.1289887,15.265494,17.5,1,107.0,1.0,0.3597,5602.0,177.0,-197.0,4.571,0.036,-0.144,-0.16,0.3,-0.3,0.817,0.181,-0.072,0.913,0.083,-0.115,291.34998,45.172272,15.97,16.536,15.908,15.727,15.608,14.649,14.196,14.129,0.947,19.423331,1.9e-05,45.17242,0.00022,-0.05,0.71,0.55,0.79,0.0001,0.00055,-8e-05,0.00062,0.38,0.24,-0.97,0.6,1.04,0.61,0.31,0.23,-0.25,0.31,0.4,0.3,0
CONFIRMED,0,0,0,0,3.30040818,2.21e-05,-2.21e-05,133.56723,0.00602,-0.00602,2454966.567,0.00602,-0.00602,0.008,0.446,-0.008,4.462,0.164,-0.164,98.8,5.9,-5.9,0.009123,0.000386,-0.000368,0.32701,0.01349,-0.13586,1.43,0.26,-0.19,0.0471,89.92,1543.0,1341.9,621.65,-382.51,5.732,0.236,-0.236,0.0,0.0,0.3061,0.3279,3.6747339,14.801852,19.3,2,341.0,1.0,0.9807,6333.0,75.0,-82.0,4.229,0.099,-0.121,0.16,0.15,-0.2,1.438,0.261,-0.19,1.279,0.091,-0.114,296.29355,43.403271,13.749,14.146,13.691,13.579,13.5,12.66,12.459,12.362,0.0,19.75289,1.2e-05,43.40356,0.00011,-0.54,0.47,1.04,0.4,5.9e-05,4.1e-05,-0.000107,3.5e-05,-0.02,0.25,0.28,0.24,0.29,0.24,0.12,0.25,0.17,0.26,0.21,0.21,0
FALSE POSITIVE,0,0,1,1,5.62950902,9.224e-05,-9.224e-05,136.8607,0.0129,-0.0129,2454969.861,0.0129,-0.0129,0.974,0.031,-0.757,6.542,0.172,-0.172,297.5,21.8,-21.8,0.021476,0.001795,-0.006627,0.00675,0.31513,-0.00866,2.11,0.57,-0.2,0.0619,64.27,979.0,216.41,178.97,-60.15,2.24,1.1,-1.1,0.0,0.0,0.2676,0.3928,3.7301984,11.66244,14.3,1,405.0,1.0,0.0,5822.0,175.0,-192.0,4.529,0.044,-0.176,-0.06,0.3,-0.3,0.898,0.246,-0.082,0.994,0.116,-0.116,298.03931,39.901939,15.957,16.524,15.909,15.713,15.677,14.682,14.27,14.224,0.0,19.869552,2.8e-05,39.90662,0.00036,11.0,1.2,16.9,1.3,-0.00215,0.00024,-0.00359,0.00026,,,,,,,,,,,,,1
CANDIDATE,0,0,0,0,13.84301228,9.079e-05,-9.079e-05,139.95334,0.00663,-0.00663,2454972.953,0.00663,-0.00663,0.052,0.4,-0.052,4.077,0.165,-0.165,567.8,35.9,-35.9,0.02167,0.00117,-0.000681,1.83117,0.21946,-0.7018,1.98,0.5,-0.18,0.11,89.89,699.0,56.45,43.35,-15.88,26.47,3.2,-3.2,0.0,0.0,0.2711,0.3858,3.767211,14.495762,17.5,2,60.0,1.0,0.022,5745.0,181.0,-201.0,4.559,0.042,-0.168,-0.2,0.3,-0.3,0.837,0.209,-0.075,0.928,0.1,-0.11,296.26456,39.40596,15.48,16.034,15.43,15.242,15.132,14.229,13.868,13.705,0.001,19.750962,1.1e-05,39.40571,0.00011,-0.33,0.44,-0.89,0.41,-0.00049,0.00028,-0.00029,0.00027,0.69,0.36,0.5,0.17,0.85,0.31,-0.41,0.36,-0.85,0.24,0.94,0.25,2
CONFIRMED,0,0,0,0,24.2758992,0.0002426,-0.0002426,152.43133,0.00897,-0.00897,2454985.431,0.00897,-0.00897,0.441,0.505,-0.239,4.59,0.209,-0.209,702.2,45.0,-45.0,0.024621,0.000725,-0.001304,1.67687,0.8017,-0.37395,2.25,0.56,-0.2,0.16,89.32,580.0,26.68,20.49,-7.5,37.4,17.9,-17.9,0.0,0.0,0.2711,0.3858,4.28394,12.554711,17.0,2,33.0,2.0,0.5921,5745.0,181.0,-201.0,4.559,0.042,-0.168,-0.2,0.3,-0.3,0.837,0.209,-0.075,0.928,0.1,-0.11,296.26456,39.40596,15.48,16.034,15.43,15.242,15.132,14.229,13.868,13.705,0.0,19.75097,1.2e-05,39.40574,0.00013,0.0,0.5,-0.79,0.46,-0.00078,0.00035,-0.00039,0.00034,0.66,0.66,0.42,0.72,0.78,0.44,-0.42,0.76,-0.54,0.59,0.69,0.51,0
CONFIRMED,0,0,0,0,54.4099612,0.0005548,-0.0005548,175.40307,0.00658,-0.00658,2455008.403,0.00658,-0.00658,0.157,0.275,-0.157,9.314,0.216,-0.216,193.0,10.8,-10.8,0.012628,0.000493,-0.000491,0.56867,0.06739,-0.15726,1.56,0.24,-0.24,0.2768,89.8,513.0,16.35,7.2,-5.46,44.65,5.3,-5.3,0.0,0.0,0.2622,0.4035,5.6414237,14.665101,20.8,1,25.0,1.0,0.8924,5746.0,115.0,-104.0,4.309,0.137,-0.112,0.0,0.15,-0.15,1.133,0.174,-0.174,0.954,0.079,-0.057,294.83102,46.659592,13.852,14.301,13.792,13.66,13.604,12.726,12.434,12.366,0.03,19.655418,1.5e-05,46.65974,0.00019,0.63,0.57,0.53,0.67,-0.00016,0.00011,-0.00013,0.00013,0.91,0.35,0.15,0.37,0.93,0.37,0.83,0.32,0.15,0.34,0.85,0.35,0
FALSE POSITIVE,0,1,1,1,9.12209336,7.149e-05,-7.149e-05,138.83306,0.00785,-0.00785,2454971.833,0.00785,-0.00785,1.236,71.85,-0.298,4.347,0.226,-0.226,906.8,47.7,-47.7,0.268689,71.87074,-0.291655,0.0241,131.11917,-0.00168,28.17,9.15,-3.05,0.0872,74.86,863.0,131.35,129.4,-40.69,4.73,2.4,-2.4,0.0,0.0,0.2844,0.3661,8.112518,20.634432,22.2,1,63.0,1.0,0.8637,5899.0,184.0,-205.0,4.499,0.04,-0.229,0.07,0.25,-0.3,0.96,0.312,-0.104,1.06,0.124,-0.138,293.07834,42.277039,15.676,16.246,15.63,15.431,15.367,14.419,14.104,14.178,0.0,19.537537,1.3e-05,42.288,0.00017,-40.7,0.53,39.46,0.6,0.03669,0.00054,-0.03577,0.00063,-3.32,0.16,2.48,0.22,4.15,0.19,-3.2,0.16,2.6,0.22,4.12,0.19,1
CONFIRMED,0,0,0,0,19.94752741,7.976e-05,-7.976e-05,144.2469,0.00351,-0.00351,2454977.247,0.00351,-0.00351,0.094,0.357,-0.094,1.756,0.121,-0.121,861.3,65.5,-65.5,0.026742,0.001688,-0.000925,33.2308,7.35923,-14.87901,2.52,0.57,-0.2,0.1421,89.94,625.0,36.14,24.06,-9.0,88.7,19.7,-19.7,0.0,0.0,0.2676,0.3928,4.3180394,14.430404,16.0,1,65.0,1.0,0.979,5749.0,153.0,-170.0,4.547,0.04,-0.16,-0.1,0.25,-0.3,0.864,0.194,-0.069,0.961,0.092,-0.127,288.95551,44.7057,15.999,16.522,15.941,15.775,15.693,14.8,14.334,14.298,,19.263671,2.4e-05,44.7055,0.00025,-1.11,0.94,-0.72,0.9,0.00106,0.00085,,,-0.36,0.38,0.38,0.5,0.52,0.4,-0.24,0.39,0.48,0.49,0.54,0.45,0
CONFIRMED,0,0,0,0,13.84984567,5.364e-05,-5.364e-05,141.64914,0.0032,-0.0032,2454974.649,0.0032,-0.0032,0.012,0.438,-0.012,7.2783,0.0849,-0.0849,84.6,2.6,-2.6,0.008397,0.000266,-0.000185,0.31133,0.01922,-0.09109,1.45,0.07,-0.07,0.1133,89.95,977.0,214.98,29.68,-30.04,14.67,0.906,-0.906,0.0,0.0,0.2918,0.3434,6.1208806,16.726513,35.2,2,94.0,2.0,0.2687,5919.0,62.0,-71.0,4.042,0.03,-0.03,-0.2,0.05,-0.1,1.585,0.071,-0.079,1.009,0.036,-0.036,291.25018,49.231834,11.866,12.629,11.95,,,11.124,10.85,10.788,0.007,19.416689,1.2e-05,49.23205,0.00014,0.38,0.42,0.76,0.52,0.0,0.0019,-0.0001,0.0029,0.25,0.16,0.61,0.77,0.66,0.71,0.21,0.16,0.49,0.75,0.53,0.69,0
CONFIRMED,0,0,0,0,6.12479773,3.239e-05,-3.239e-05,134.93803,0.00428,-0.00428,2454967.938,0.00428,-0.00428,0.79,0.037,-0.545,3.466,0.122,-0.122,129.3,6.9,-6.9,0.011473,0.002307,-0.001069,0.31706,0.89126,-0.29365,1.51,0.26,-0.24,0.0659,84.71,1140.0,399.43,195.49,-139.86,8.57,4.0,-4.0,0.0,0.0,0.2889,0.3511,4.5355062,27.188307,20.1,5,217.0,1.0,0.6531,6052.0,121.0,-133.0,4.285,0.137,-0.112,-0.12,0.15,-0.15,1.202,0.208,-0.189,1.015,0.085,-0.068,288.37024,43.35461,13.268,13.567,13.221,13.14,13.127,12.303,12.082,11.993,0.352,19.2246808,7.7e-06,43.354483,8.7e-05,-0.05,0.3,-0.46,0.31,7e-06,4.2e-05,3.5e-05,4.4e-05,-0.59,0.2,0.08,0.56,0.6,0.24,-0.68,0.21,0.08,0.53,0.69,0.24,0
CONFIRMED,0,0,0,0,11.24284815,7.649e-05,-7.649e-05,136.32084,0.00569,-0.00569,2454969.321,0.00569,-0.00569,0.52,0.102,-0.406,4.241,0.156,-0.156,136.0,8.3,-8.3,0.010988,0.000231,-0.000637,0.81171,0.64899,-0.01094,1.44,0.25,-0.22,0.0988,88.3,931.0,177.7,86.98,-62.22,17.57,7.0,-7.0,0.0,0.0,0.2889,0.3511,4.190815,17.8426,17.4,5,103.0,3.0,0.927,6052.0,121.0,-133.0,4.285,0.137,-0.112,-0.12,0.15,-0.15,1.202,0.208,-0.189,1.015,0.085,-0.068,288.37024,43.35461,13.268,13.567,13.221,13.14,13.127,12.303,12.082,11.993,0.001,19.224677,1e-05,43.3548,0.00011,-0.2,0.4,0.67,0.41,2.7e-05,5.4e-05,-0.000119,5.6e-05,0.22,0.15,-0.23,0.37,0.32,0.31,0.13,0.19,-0.26,0.4,0.29,0.4,0
CONFIRMED,0,0,0,0,4.02877097,2.404e-05,-2.404e-05,133.76774,0.00487,-0.00487,2454966.768,0.00487,-0.00487,0.193,0.265,-0.193,3.173,0.133,-0.133,100.4,6.0,-6.0,0.009204,0.000449,-0.000274,1.03961,0.17346,-0.41241,1.21,0.21,-0.19,0.0498,88.85,1311.0,699.45,342.32,-244.92,9.63,1.6,-1.6,0.0,0.0,0.2889,0.3511,4.5831184,21.858406,18.6,5,311.0,2.0,0.6692,6052.0,121.0,-133.0,4.285,0.137,-0.112,-0.12,0.15,-0.15,1.202,0.208,-0.189,1.015,0.085,-0.068,288.37024,43.35461,13.268,13.567,13.221,13.14,13.127,12.303,12.082,11.993,0.158,19.2246875,9.5e-06,43.35466,0.00011,0.21,0.37,0.17,0.39,-2.1e-05,3.7e-05,-3.7e-05,3.8e-05,-0.11,0.23,-0.05,0.24,0.13,0.27,-0.23,0.25,-0.07,0.24,0.24,0.28,0
CONFIRMED,0,0,0,0,8.92114318,7.239e-05,-7.239e-05,137.49071,0.00632,-0.00632,2454970.491,0.00632,-0.00632,0.12,0.336,-0.12,3.933,0.183,-0.183,110.8,7.8,-7.8,0.009647,0.000566,-0.000305,1.24769,0.21908,-0.47256,1.27,0.22,-0.2,0.0847,89.6,1006.0,241.79,118.34,-84.66,17.38,3.1,-3.1,0.0,0.0,0.2889,0.3511,5.298493,15.35378,15.3,5,127.0,4.0,0.7803,6052.0,121.0,-133.0,4.285,0.137,-0.112,-0.12,0.15,-0.15,1.202,0.208,-0.189,1.015,0.085,-0.068,288.37024,43.35461,13.268,13.567,13.221,13.14,13.127,12.303,12.082,11.993,0.196,19.224676,1.2e-05,43.35468,0.00014,-0.24,0.47,0.26,0.49,2.6e-05,5e-05,-4.9e-05,5.2e-05,-0.06,0.37,0.0,0.56,0.06,0.37,-0.18,0.39,-0.01,0.54,0.18,0.38,0
CONFIRMED,0,0,0,0,7.81285862,2.823e-05,-2.823e-05,172.6138,0.00285,-0.00285,2455005.614,0.00285,-0.00285,0.03,0.428,-0.03,4.098,0.0768,-0.0768,117.3,4.0,-4.0,0.009941,0.000332,-0.000232,0.98735,0.02331,-0.36303,1.68,0.09,-0.09,0.0817,89.88,1196.0,483.06,75.7,-66.21,14.714,0.347,-0.347,0.0,0.0,0.305,0.3201,6.1769357,34.52071,32.3,2,171.0,2.0,0.6158,6237.0,62.0,-74.0,4.136,0.033,-0.03,0.0,0.1,-0.05,1.543,0.084,-0.075,1.187,0.08,-0.062,288.10086,50.033718,10.421,10.675,10.36,10.313,10.302,9.518,9.25,9.197,0.808,19.2067283,6.1e-06,50.033675,9e-05,0.12,0.21,-0.16,0.32,-3e-06,2e-05,1e-05,3.1e-05,-0.18,0.4,-0.36,0.64,0.4,0.6,0.03,0.37,-1.15,0.59,1.15,0.6,0
CONFIRMED,0,0,0,0,18.01164974,5.122e-05,-5.122e-05,185.09162,0.00238,-0.00238,2455018.092,0.00238,-0.00238,0.924,0.041,-0.669,6.7367,0.0596,-0.0596,107.8,2.1,-2.1,0.011469,0.000247,-0.001659,0.03546,0.4497,-0.02463,1.83,0.07,-0.11,0.1469,83.74,900.0,155.37,23.54,-27.37,8.47,4.1,-4.1,0.0,0.0,0.3168,0.2958,6.8765807,38.87934,60.8,1,76.0,1.0,0.2566,6477.0,103.0,-116.0,4.224,0.033,-0.027,0.1,0.1,-0.15,1.459,0.058,-0.086,1.3,0.059,-0.072,287.34573,43.378391,10.927,11.17,10.859,10.823,10.799,9.969,9.796,9.754,,19.1563778,8.1e-06,43.378482,8.1e-05,-0.16,0.32,0.33,0.29,,,-1e-06,3.1e-05,-0.34,0.63,0.01,0.48,0.34,0.63,-0.42,0.64,0.1,0.48,0.43,0.64,0
CONFIRMED,0,0,0,0,0.916142298,1.809e-06,-1.809e-06,132.02221,0.00167,-0.00167,2454965.022,0.00167,-0.00167,0.232,0.256,-0.232,1.1555,0.0545,-0.0545,98.5,5.1,-5.1,0.008995,0.000394,-0.000394,4.81851,0.99281,-1.84979,0.6,0.05,-0.05,0.0156,87.78,1212.0,507.47,142.79,-136.35,5.98,1.2,-1.2,0.0,0.0,0.1171,0.6215,3.830456,18.559893,23.0,1,1462.0,1.0,0.5557,4374.0,118.0,-131.0,4.639,0.052,-0.024,-0.34,0.35,-0.3,0.614,0.045,-0.056,0.6,0.065,-0.047,293.60873,42.197681,14.107,15.192,14.06,13.642,13.39,12.225,11.573,11.47,0.863,19.5739,1.3e-05,42.19773,0.00014,-0.59,0.51,0.17,0.5,-1e-06,4.7e-05,1.4e-05,4.7e-05,0.17,0.46,0.26,0.41,0.31,0.35,-0.37,0.45,0.8,0.45,0.88,0.52,0
FALSE POSITIVE,0,0,1,1,0.597933473,2.087e-06,-2.087e-06,131.95386,0.00255,-0.00255,2454964.954,0.00255,-0.00255,0.562,0.361,-0.33,1.918,0.112,-0.112,106.0,5.2,-5.2,0.009816,0.000136,-0.000559,0.51301,0.40543,-0.05879,1.24,0.36,-0.15,0.0147,74.7,2564.0,10196.42,8282.43,-3267.16,2.132,0.843,-0.843,0.0,0.0,0.311,0.2914,3.5638888,20.474722,26.0,1,2236.0,1.0,0.8601,6543.0,148.0,-198.0,4.382,0.06,-0.18,-0.16,0.25,-0.3,1.159,0.333,-0.143,1.181,0.162,-0.146,299.07883,40.832291,13.364,13.654,13.314,13.239,13.229,12.449,12.253,12.213,0.0,19.938528,1.1e-05,40.76411,0.00015,-2.49,0.45,-245.47,0.52,0.000192,2.8e-05,0.01539,3.3e-05,-1.36,0.73,-8.52,0.51,8.62,0.51,-1.46,0.73,-8.44,0.49,8.56,0.5,1
FALSE POSITIVE,0,1,1,1,2.69636494,1.566e-05,-1.566e-05,132.99372,0.00467,-0.00467,2454965.994,0.00467,-0.00467,0.628,0.308,-0.415,3.892,0.159,-0.159,109.0,5.8,-5.8,0.009999,0.00259,-0.000504,0.20105,0.19543,-0.17479,1.24,0.4,-0.32,0.0358,81.53,1406.0,925.14,863.78,-471.79,4.26,2.1,-2.1,0.0,0.0,0.2736,0.3819,3.5224113,17.329914,22.2,1,501.0,1.0,0.6138,5653.0,152.0,-152.0,4.25,0.282,-0.212,-0.22,0.3,-0.25,1.139,0.363,-0.297,0.842,0.122,-0.071,283.73706,47.797131,14.515,15.065,14.471,14.28,14.199,13.244,12.887,12.736,0.002,18.915815,2e-05,47.79746,0.0002,0.41,0.73,1.2,0.72,-3.5e-05,7.3e-05,-0.000129,7.2e-05,0.99,0.41,1.33,0.58,1.66,0.52,0.88,0.41,1.33,0.59,1.6,0.54,1
CONFIRMED,0,0,0,0,6.99205021,3.838e-05,-3.838e-05,138.05147,0.00493,-0.00493,2454971.051,0.00493,-0.00493,0.944,0.006,-0.723,5.037,0.122,-0.122,33.4,1.6,-1.6,0.006619,7e-06,-0.001336,0.02168,0.42867,-0.00343,1.06,0.18,-0.2,0.0735,75.72,1194.0,479.87,237.62,-188.6,3.83,1.9,-1.9,0.0,0.0,0.291,0.3469,4.661273,17.720652,24.4,1,196.0,1.0,0.5369,6057.0,134.0,-121.0,4.139,0.168,-0.112,-0.06,0.15,-0.15,1.467,0.25,-0.277,1.081,0.113,-0.083,299.16049,41.14373,10.787,11.166,10.726,10.625,10.583,9.771,9.526,9.472,0.141,19.944002,2e-05,41.14379,0.00023,-1.24,0.81,0.21,0.84,3.8e-05,2.6e-05,-2e-06,2.7e-05,0.07,0.97,0.7,0.59,0.71,0.55,0.05,0.94,0.99,0.53,0.99,0.52,0
CONFIRMED,0,0,0,0,12.0999065,0.0001087,-0.0001087,143.04424,0.00811,-0.00811,2454976.044,0.00811,-0.00811,0.14,0.307,-0.14,3.558,0.209,-0.209,165.5,12.2,-12.2,0.011614,0.000587,-0.000627,2.28077,0.33183,-0.96226,1.39,0.21,-0.2,0.1011,89.69,807.0,100.37,38.77,-31.09,26.04,3.8,-3.8,0.0,0.0,0.224,0.4695,4.1084285,12.935891,15.1,4,110.0,1.0,0.2762,5553.0,74.0,-74.0,4.33,0.137,-0.1,0.16,0.15,-0.15,1.098,0.161,-0.161,0.941,0.062,-0.048,290.20163,48.185822,14.754,15.293,14.707,14.523,14.463,13.527,13.153,13.101,0.108,19.346796,3.1e-05,48.18608,0.00027,0.7,1.1,0.92,0.99,-0.00015,0.00018,-0.00016,0.00016,0.16,0.76,0.31,0.4,0.34,0.51,-0.06,0.59,0.16,0.45,0.18,0.47,0
CONFIRMED,0,0,0,0,5.36375016,3.904e-05,-3.904e-05,134.65014,0.00609,-0.00609,2454967.65,0.00609,-0.00609,0.008,0.448,-0.008,2.94,0.199,-0.199,114.3,9.3,-9.3,0.00963,0.000718,-0.000301,1.83604,0.5899,-0.75558,1.15,0.17,-0.16,0.0588,89.97,1059.0,296.73,114.62,-91.93,14.08,4.5,-4.5,0.0,0.0,0.224,0.4695,5.4200745,11.9805565,14.4,4,249.0,2.0,0.9152,5553.0,74.0,-74.0,4.33,0.137,-0.1,0.16,0.15,-0.15,1.098,0.161,-0.161,0.941,0.062,-0.048,290.20163,48.185822,14.754,15.293,14.707,14.523,14.463,13.527,13.153,13.101,0.096,19.346722,3.1e-05,48.18569,0.00028,-1.9,1.1,-0.5,1.0,0.0002,0.00013,4e-05,0.00011,-0.25,0.26,0.25,0.52,0.35,0.43,-0.43,0.26,0.14,0.55,0.45,0.32,0
FALSE POSITIVE,0,0,1,0,3.17319407,2.058e-05,-2.058e-05,133.38365,0.00508,-0.00508,2454966.384,0.00508,-0.00508,0.211,0.243,-0.211,2.512,0.162,-0.162,135.8,10.1,-10.1,0.010595,0.000569,-0.000469,1.63985,0.4288,-0.68172,0.91,0.12,-0.12,0.0379,88.73,1077.0,318.23,146.09,-102.36,9.56,2.5,-2.5,0.0,0.0,0.2337,0.4535,3.8491251,20.517807,16.2,1,429.0,1.0,0.855,5369.0,160.0,-160.0,4.508,0.105,-0.095,-0.44,0.35,-0.3,0.784,0.109,-0.098,0.722,0.107,-0.046,296.88654,42.655079,14.162,14.769,14.115,13.902,13.771,12.821,12.43,12.354,0.0,19.792566,1.3e-05,42.63363,0.00018,5.2,0.5,-77.23,0.64,-0.000757,7.7e-05,0.01189,9.9e-05,1.616,0.068,-9.325,0.072,9.464,0.072,1.723,0.069,-9.227,0.068,9.386,0.068,1
FALSE POSITIVE,0,0,1,1,5.24368302,7.926e-05,-7.926e-05,132.7109,0.014,-0.014,2454965.711,0.014,-0.014,0.006,0.411,-0.006,10.873,0.326,-0.326,225.4,7.1,-7.1,0.013281,0.000448,-0.000307,0.03714,0.00866,-0.01236,0.91,0.06,-0.08,0.0504,89.91,654.0,43.13,11.79,-12.29,3.779,0.881,-0.881,0.0,0.0,0.0853,0.6656,5.217508,25.563253,36.9,1,265.0,1.0,0.46,4194.0,126.0,-139.0,4.633,0.053,-0.021,-0.06,0.3,-0.3,0.629,0.04,-0.06,0.619,0.059,-0.059,291.89893,41.744492,15.29,16.572,15.294,14.741,14.431,13.201,12.606,12.441,0.0,19.459885,1.2e-05,41.74414,0.00013,-1.74,0.47,-1.27,0.46,0.00035,0.0001,0.00019,0.0001,-1.83,0.49,-0.55,0.49,1.91,0.55,-1.88,0.49,-0.99,0.52,2.13,0.57,1
CANDIDATE,0,0,0,0,5.1952021,1.808e-05,-1.808e-05,133.34401,0.00317,-0.00317,2454966.344,0.00317,-0.00317,0.604,0.02,-0.485,2.1552,0.0961,-0.0961,320.8,19.2,-19.2,0.016999,0.005138,-0.00102,2.40992,2.60438,-0.12592,1.37,0.13,-0.15,0.0523,87.71,836.0,115.35,41.01,-32.9,15.09,5.4,-5.4,0.0,0.0,0.1731,0.5396,3.2146199,13.031365,17.7,2,156.0,1.0,0.925,5044.0,151.0,-136.0,4.551,0.078,-0.048,-0.28,0.3,-0.3,0.738,0.072,-0.079,0.708,0.1,-0.05,292.37903,39.435841,14.937,15.674,14.885,14.621,14.465,13.434,13.012,12.905,0.199,19.491906,2.2e-05,39.43576,0.00027,-1.23,0.9,-0.28,0.98,0.00032,0.00027,0.0,0.00029,-3.5,2.1,-3.4,1.7,4.9,1.9,-3.7,2.1,-3.5,1.7,5.1,1.9,2
FALSE POSITIVE,0,0,1,0,0.591280187,1.335e-06,-1.335e-06,131.74406,0.00189,-0.00189,2454964.744,0.00189,-0.00189,0.395,0.076,-0.395,1.1656,0.0776,-0.0776,135.0,8.0,-8.0,0.01087,0.000306,-0.000583,2.66879,0.90084,-1.06985,1.3,0.42,-0.14,0.0146,83.81,2385.0,7620.01,7272.84,-2433.79,3.67,1.2,-1.2,0.0,0.0,0.3024,0.3288,3.4424198,16.169512,21.6,1,1806.0,1.0,0.9462,6246.0,174.0,-239.0,4.433,0.05,-0.2,0.07,0.25,-0.3,1.092,0.353,-0.118,1.18,0.145,-0.159,294.47125,40.278759,15.046,15.478,14.976,14.861,14.796,13.989,13.675,13.647,0.0,19.63144,2.2e-05,40.2794,0.00028,0.97,0.92,2.3,1.0,-0.000103,9.6e-05,-0.00023,0.0001,0.48,0.27,2.13,0.2,2.19,0.21,0.43,0.26,2.11,0.2,2.15,0.21,1
CONFIRMED,0,0,0,0,3.93766786,3.442e-05,-3.442e-05,135.27724,0.0081,-0.0081,2454968.277,0.0081,-0.0081,0.226,0.216,-0.226,4.655,0.195,-0.195,24.3,1.7,-1.7,0.004548,0.000166,-0.000233,0.31319,0.02367,-0.12835,1.36,0.16,-0.37,0.0555,87.96,1947.0,3388.82,1199.11,-1737.79,6.355,0.48,-0.48,0.0,0.0,0.3044,0.3135,3.3288972,11.470975,16.8,1,344.0,1.0,0.0866,6277.0,126.0,-113.0,3.728,0.218,-0.073,-0.06,0.15,-0.1,2.741,0.324,-0.757,1.465,0.182,-0.223,283.45319,45.084141,11.801,12.011,11.731,11.706,11.707,10.948,10.724,10.679,0.19,18.896908,2.2e-05,45.08404,0.0002,1.08,0.85,-0.36,0.72,-2e-05,1.7e-05,4e-06,1.4e-05,0.3,0.4,0.6,0.38,0.67,0.39,0.39,0.39,0.43,0.39,0.58,0.39,0
CANDIDATE,0,0,0,0,31.6084371,0.000242,-0.000242,134.68285,0.00578,-0.00578,2454967.683,0.00578,-0.00578,0.022,0.42,-0.021,3.675,0.153,-0.153,331.6,23.4,-23.4,0.016769,0.000847,-0.000602,5.64196,0.75498,-2.16746,1.89,0.61,-0.2,0.2013,89.98,634.0,38.1,36.03,-11.52,66.79,8.9,-8.9,0.0,0.0,0.3032,0.3147,5.1692405,14.320765,16.2,1,44.0,1.0,0.5739,6341.0,169.0,-207.0,4.446,0.054,-0.216,-0.24,0.25,-0.3,1.033,0.334,-0.111,1.083,0.143,-0.143,290.9288,47.887249,14.756,15.138,14.721,14.592,14.565,13.708,13.45,13.391,0.033,19.395276,2.6e-05,47.88692,0.00026,0.81,0.94,-1.18,0.92,-0.00024,0.00031,0.00038,0.00031,0.08,0.77,0.37,0.3,0.38,0.37,0.09,0.86,0.28,0.31,0.29,0.45,2
CANDIDATE,0,0,0,0,16.1558656,0.0001418,-0.0001418,140.23012,0.00767,-0.00767,2454973.23,0.00767,-0.00767,0.973,0.068,-0.653,3.798,0.31,-0.31,731.3,46.2,-46.2,0.035167,0.03142,-0.010555,0.11086,5.30886,-0.06752,2.04,0.14,-0.18,0.1012,85.16,455.0,10.1,3.04,-2.93,11.52,5.7,-5.7,0.0,0.0,0.1554,0.5738,4.471319,15.271056,17.5,1,70.0,1.0,0.6735,4504.0,142.0,-178.0,4.713,0.058,-0.031,-1.06,0.3,-0.3,0.53,0.038,-0.046,0.528,0.04,-0.033,297.27222,43.098721,15.771,16.782,15.739,15.338,15.092,13.981,13.402,13.25,0.0,19.8181007,8.9e-06,43.098316,6.4e-05,-1.89,0.35,-1.46,0.23,-0.00114,0.00035,-0.00013,0.00038,3.5,1.0,0.82,0.41,3.6,1.0,0.37,0.24,-0.59,0.35,0.69,0.32,2
